D [mm],coax_inside [mm],QCOAX_D [mm],freq
0.1,0.1,0.7,58.44
0.1,0.1,0.7,58.45
0.1,0.1,0.7,58.46
0.1,0.1,0.7,58.47
0.1,0.1,0.7,58.48
0.1,0.1,0.7,58.49
0.1,0.1,0.7,58.5
0.1,0.1,0.7,58.51
0.1,0.1,0.7,58.52
0.1,0.1,0.7,58.53
0.1,0.1,0.7,58.54
0.1,0.1,0.7,58.55
0.1,0.1,0.7,58.56
0.1,0.1,0.7,58.57
0.1,0.1,0.7,58.58
0.1,0.1,0.7,58.59
0.1,0.1,0.7,58.6
0.1,0.1,0.7,58.61
0.1,0.1,0.7,58.62
0.1,0.1,0.7,58.63
0.1,0.1,0.7,58.64
0.1,0.1,0.7,58.65
0.1,0.1,0.7,58.66
0.1,0.1,0.7,58.67
0.1,0.1,0.7,58.68
0.1,0.1,0.7,58.69
0.1,0.1,0.7,58.7
0.1,0.1,0.7,58.71
0.1,0.1,0.7,58.72
0.1,0.1,0.7,58.73
0.1,0.1,0.7,58.74
0.1,0.1,0.7,58.75
0.1,0.1,0.7,58.76
0.1,0.1,0.7,58.77
0.1,0.1,0.7,58.78
0.1,0.1,0.7,58.79
0.1,0.1,0.7,58.8
0.1,0.1,0.7,58.81
0.1,0.1,0.7,58.82
0.1,0.1,0.7,58.83
0.1,0.1,0.7,58.84
0.1,0.1,0.7,58.85
0.1,0.1,0.7,58.86
0.1,0.1,0.7,58.87
0.1,0.1,0.7,58.88
0.1,0.1,0.7,58.89
0.1,0.1,0.7,58.9
0.1,0.1,0.7,58.91
0.1,0.1,0.7,58.92
0.1,0.1,0.7,58.93
0.1,0.1,0.7,58.94
0.1,0.1,0.7,58.95
0.1,0.1,0.7,58.96
0.1,0.1,0.7,58.97
0.1,0.1,0.7,58.98
0.1,0.1,0.7,58.99
0.1,0.1,0.7,59
0.1,0.1,0.7,59.01
0.1,0.1,0.7,59.02
0.1,0.1,0.7,59.03
0.1,0.1,0.7,59.04
0.1,0.1,0.7,59.05
0.1,0.1,0.7,59.06
0.1,0.1,0.7,59.07
0.1,0.1,0.7,59.08
0.1,0.1,0.7,59.09
0.1,0.1,0.7,59.1
0.1,0.1,0.7,59.11
0.1,0.1,0.7,59.12
0.1,0.1,0.7,59.13
0.1,0.1,0.7,59.14
0.1,0.1,0.7,59.15
0.1,0.1,0.7,59.16
0.1,0.1,0.7,59.17
0.1,0.1,0.7,59.18
0.1,0.1,0.7,59.19
0.1,0.1,0.7,59.2
0.1,0.1,0.7,59.21
0.1,0.1,0.7,59.22
0.1,0.1,0.7,59.23
0.1,0.1,0.7,59.24
0.1,0.1,0.7,59.25
0.1,0.1,0.7,59.26
0.1,0.1,0.7,59.27
0.1,0.1,0.7,59.28
0.1,0.1,0.7,59.29
0.1,0.1,0.7,59.3
0.1,0.1,0.7,59.31
0.1,0.1,0.7,59.32
0.1,0.1,0.7,59.33
0.1,0.1,0.7,59.34
0.1,0.1,0.7,59.35
0.1,0.1,0.7,59.36
0.1,0.1,0.7,59.37
0.1,0.1,0.7,59.38
0.1,0.1,0.7,59.39
0.1,0.1,0.7,59.4
0.1,0.1,0.7,59.41
0.1,0.1,0.7,59.42
0.1,0.1,0.7,59.43
0.1,0.1,0.7,59.44
0.1,0.1,0.7,59.45
0.1,0.1,0.7,59.46
0.1,0.1,0.7,59.47
0.1,0.1,0.7,59.48
0.1,0.1,0.7,59.49
0.1,0.1,0.7,59.5
0.1,0.1,0.7,59.51
0.1,0.1,0.7,59.52
0.1,0.1,0.7,59.53
0.1,0.1,0.7,59.54
0.1,0.1,0.7,59.55
0.1,0.1,0.7,59.56
0.1,0.1,0.7,59.57
0.1,0.1,0.7,59.58
0.1,0.1,0.7,59.59
0.1,0.1,0.7,59.6
0.1,0.1,0.7,59.61
